id,title,genres,averageRating,numVotes,releaseYear
tt26225038,"Death's Game","Drama, Fantasy",8.5,15184,2023
tt0807832,Mushi-Shi,"Animation, Drama, Fantasy",8.5,15047,2005
tt22185582,Sixer,"Drama, Sport",8.5,14143,2022
tt27867155,"Mr Bates vs. The Post Office","Biography, Drama",8.5,12923,2024
tt0315008,"Great Teacher Onizuka","Animation, Comedy, Drama",8.5,12187,1999
tt0161952,"Saint Seiya: Knights of the Zodiac","Action, Adventure, Animation",8.5,11567,1986
tt12369754,Staged,"Comedy, Drama",8.5,10740,2020
tt0062550,"The Bugs Bunny/Road Runner Hour","Animation, Comedy",8.5,10358,1968
tt11052470,"Move to Heaven",Drama,8.5,10291,2021
tt2301351,"RuPaul's Drag Race All Stars","Game-Show, Reality-TV",8.5,10186,2012
tt5332206,Signal,"Crime, Drama, Fantasy",8.5,10002,2016
tt1632701,Suits,"Comedy, Drama",8.4,499017,2011
tt0460681,Supernatural,"Drama, Fantasy, Horror",8.4,497548,2005
tt2467372,"Brooklyn Nine-Nine","Comedy, Crime",8.4,380586,2013
tt0285403,Scrubs,"Comedy, Drama",8.4,274187,2001
tt5675620,"The Punisher","Action, Crime, Drama",8.4,273476,2017
tt12637874,Fallout,"Action, Adventure, Drama",8.4,269913,2024
tt5834204,"The Handmaid's Tale","Drama, Sci-Fi, Thriller",8.4,265023,2017
tt1119644,Fringe,"Drama, Mystery, Sci-Fi",8.4,261272,2008
tt3920596,"Big Little Lies","Crime, Drama, Mystery",8.4,231108,2017
tt7221388,"Cobra Kai","Action, Comedy, Drama",8.4,214038,2018
tt9561862,"Love, Death & Robots","Action, Adventure, Animation",8.4,205328,2019
tt0285331,24,"Action, Crime, Drama",8.4,199583,2001
tt10155688,"Mare of Easttown","Crime, Drama, Mystery",8.4,197407,2021
tt3006802,Outlander,"Adventure, Drama, Fantasy",8.4,183860,2014
tt0387199,Entourage,"Comedy, Drama",8.4,178771,2004
tt9253284,Andor,"Action, Adventure, Drama",8.4,178637,2022
tt2401256,"The Night Of","Crime, Drama, Mystery",8.4,177616,2016
tt7657124,"The Heroes","Animation, Drama, History",8.4,168645,2008
tt8398600,"After Life","Comedy, Drama",8.4,157348,2019
