id,title,genres,averageRating,numVotes,releaseYear
tt8400758,"Killers Anonymous","Action, Crime, Mystery",4,10438,2019
tt13851804,Siavash,Drama,4,10325,2021
tt1190617,"An American Carol","Comedy, Fantasy",4,10168,2008
tt0312528,"The Cat in the Hat","Adventure, Comedy, Family",4.1,89503,2003
tt0111301,"Street Fighter","Action, Adventure, Comedy",4.1,76652,1994
tt0107254,"Jason Goes to Hell","Fantasy, Horror, Thriller",4.1,38128,1993
tt0329691,Torque,"Action, Comedy, Crime",4.1,29806,2004
tt1633356,"Shark Night","Action, Horror, Thriller",4.1,27456,2011
tt1679235,"Mean Girls 2","Comedy, Drama",4.1,26249,2011
tt2375779,"Wrong Turn 5: Bloodlines","Adventure, Horror",4.1,23752,2012
tt5913798,Wounds,"Drama, Horror, Mystery",4.1,22290,2019
tt5970844,"Thugs of Hindostan","Action, Adventure",4.1,22238,2018
tt1433822,"The Apparition","Horror, Thriller",4.1,20810,2012
tt0960890,"Zombie Strippers!","Comedy, Horror, Sci-Fi",4.1,19142,2008
tt3612032,"Wrong Turn 6: Last Resort","Adventure, Horror",4.1,18164,2014
tt0119718,"Mr. Magoo","Adventure, Comedy, Family",4.1,16374,1997
tt5103758,"Troy: Fall of a City","Action, Adventure, Fantasy",4.1,15721,2018
tt27785647,"Episode #1.8","Comedy, Drama, Romance",4.1,15171,2023
tt7869070,"The Fanatic","Crime, Drama, Horror",4.1,12768,2019
tt0120604,Beowulf,"Action, Adventure, Fantasy",4.1,12732,1999
tt4382872,Extraction,"Action, Thriller",4.1,12133,2015
tt8433210,"A Dark Foe","Crime, Drama, Horror",4.1,11817,2020
tt12772746,Diverged,"Drama, Horror, Thriller",4.1,11675,2021
tt0200469,Bats,"Horror, Sci-Fi, Thriller",4.1,11661,1999
tt2322441,"Fifty Shades of Grey","Drama, Romance, Thriller",4.2,341333,2015
tt12262202,"The Acolyte","Action, Adventure, Drama",4.2,125204,2024
tt0477051,Norbit,"Comedy, Romance",4.2,81380,2007
tt10280276,"Coolie No. 1","Action, Comedy, Romance",4.2,74384,2020
tt0108255,"Super Mario Bros.","Adventure, Comedy, Family",4.2,64262,1993
tt0107978,"RoboCop 3","Action, Crime, Sci-Fi",4.2,55467,1993
tt0141369,"Inspector Gadget","Action, Adventure, Comedy",4.2,51640,1999
tt0102034,"Highlander II: The Quickening","Action, Adventure, Fantasy",4.2,48663,1991
tt9660182,"Resident Evil","Action, Horror, Sci-Fi",4.2,46951,2022
tt1560985,"The Devil Inside",Horror,4.2,37877,2012
tt0357507,Boogeyman,"Drama, Horror, Mystery",4.2,32975,2005
tt0176269,"Universal Soldier: The Return","Action, Sci-Fi",4.2,31146,1999
tt3120430,Mantus,"Comedy, Drama, Thriller",4.2,28726,2014
tt10062556,"Bhuj: The Pride of India","Action, Drama, History",4.2,25031,2021
tt2309260,"The Gallows","Horror, Mystery, Thriller",4.2,21879,2015
tt0318081,"A Sound of Thunder","Action, Adventure, Horror",4.2,20773,2005
tt3704538,"V/H/S Viral","Horror, Thriller",4.2,20213,2014
tt2752758,"Devil's Due","Horror, Mystery",4.2,18020,2014
tt0120860,"From Dusk Till Dawn 2: Texas Blood Money","Crime, Horror, Thriller",4.2,17733,1999
tt3480796,Vice,"Action, Sci-Fi, Thriller",4.2,17218,2015
tt8597594,Adverse,"Crime, Thriller",4.2,16222,2020
tt6372694,"Prisoners of the Ghostland","Fantasy, Horror, Thriller",4.2,14664,2021
tt5159414,"Escape Room","Horror, Thriller",4.2,14321,2017
tt13978306,Brazen,"Crime, Drama, Mystery",4.2,14039,2022
tt0120786,"The Patriot","Action, Thriller",4.2,13500,1998
tt0354623,"Hellraiser: Hellworld",Horror,4.2,13398,2005
tt7209472,"Aiyai: Wrathful Soul","Mystery, Thriller",4.2,12894,2020
tt0410650,"Species III","Horror, Sci-Fi",4.2,11298,2004
tt2933474,Superfast!,"Action, Comedy, Crime",4.2,11123,2015
tt13322120,"American Sicario","Action, Crime, Drama",4.2,10917,2021
tt2178508,"Son of Sardaar","Action, Comedy, Romance",4.2,10892,2012
tt0089200,Ghoulies,"Comedy, Fantasy, Horror",4.2,10677,1984
tt13452100,"Fabulous Lives of Bollywood Wives","Documentary, Reality-TV, Romance",4.2,10510,2020
tt11576124,Rogue,"Action, Horror, Thriller",4.2,10049,2020
tt1502712,"Fantastic Four","Action, Adventure, Sci-Fi",4.3,180085,2015
tt1071875,"Ghost Rider: Spirit of Vengeance","Action, Fantasy, Thriller",4.3,128486,2011
tt1043726,"The Legend of Hercules","Action, Adventure, Fantasy",4.3,56651,2014
tt15979666,"The Archies","Comedy, Drama, Musical",4.3,53010,2023
tt1620680,"A Wrinkle in Time","Adventure, Drama, Family",4.3,48370,2018
tt3089630,"Artemis Fowl","Adventure, Family, Fantasy",4.3,30782,2020
tt4030600,"The Bye Bye Man","Drama, Fantasy, Horror",4.3,26630,2017
tt2515086,"One Direction: This Is Us","Documentary, Music",4.3,25183,2013
